antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len
"frozenset({'Ting-Lu', 'Dondozo', 'Toxapex', 'Alomomola'})",frozenset({'Blissey'}),0.010346926354230066,0.06112511955482132,0.010346926354230066,1.0,16.359886201991465,0.009714469243802822,inf,4,1
"frozenset({'Ting-Lu', 'Alomomola', 'Dondozo'})",frozenset({'Blissey'}),0.011042518041909399,0.06112511955482132,0.011042518041909399,1.0,16.359886201991465,0.010367542806411415,inf,3,1
"frozenset({'Ting-Lu', 'Toxapex', 'Alomomola'})",frozenset({'Blissey'}),0.010433875315189984,0.06112511955482132,0.010433875315189984,1.0,16.359886201991465,0.009796103439128897,inf,3,1
"frozenset({'Dondozo', 'Toxapex', 'Gliscor'})",frozenset({'Blissey'}),0.010694722198069733,0.06112511955482132,0.010694722198069733,1.0,16.359886201991465,0.01004100602510712,inf,3,1
"frozenset({'Great Tusk', 'Brute Bonnet'})",frozenset({'Torkoal'}),0.011825058690548647,0.05512564124858708,0.011738109729588731,0.9926470588235294,18.006993412506958,0.01108624578647006,128.50291279019262,2,1
"frozenset({'Walking Wake', 'Brute Bonnet'})",frozenset({'Torkoal'}),0.0105208242761499,0.05512564124858708,0.010433875315189984,0.9917355371900827,17.99045806502073,0.00985390813050352,114.32979740892134,2,1
"frozenset({'Ting-Lu', 'Toxapex', 'Alomomola'})",frozenset({'Dondozo'}),0.010433875315189984,0.111468567950613,0.010346926354230066,0.9916666666666666,8.896379355174206,0.009183877214670589,106.6237718459254,3,1
"frozenset({'Blissey', 'Ting-Lu', 'Toxapex', 'Alomomola'})",frozenset({'Dondozo'}),0.010433875315189984,0.111468567950613,0.010346926354230066,0.9916666666666666,8.896379355174206,0.009183877214670589,106.6237718459254,4,1
"frozenset({'Ting-Lu', 'Toxapex', 'Alomomola'})","frozenset({'Blissey', 'Dondozo'})",0.010433875315189984,0.046952438918354926,0.010346926354230066,0.9916666666666666,21.120663580246912,0.009857030460811878,114.3657073297963,3,2
"frozenset({'Zapdos', 'Basculegion'})",frozenset({'Pelipper'}),0.010433875315189984,0.04408312320667768,0.010346926354230066,0.9916666666666666,22.495381328073634,0.009886968543187434,114.71002521519756,2,1
"frozenset({'Walking Wake', 'Great Tusk', 'Brute Bonnet'})",frozenset({'Torkoal'}),0.01025997739327015,0.05512564124858708,0.010173028432310233,0.9915254237288135,17.986646527295086,0.00960744059931021,111.49517433266556,3,1
"frozenset({'Blissey', 'Dondozo', 'Clefable'})",frozenset({'Gliscor'}),0.012085905573428398,0.05625597774106599,0.011912007651508565,0.9856115107913669,17.520120534175444,0.011232103216589151,65.59020954699582,3,1
"frozenset({'Toxapex', 'Alomomola'})",frozenset({'Blissey'}),0.018085383879662638,0.06112511955482132,0.017824536996782887,0.985576923076923,16.123926304847355,0.01671906574494367,65.09532504419879,2,1
"frozenset({'Toxapex', 'Alomomola'})",frozenset({'Dondozo'}),0.018085383879662638,0.111468567950613,0.017824536996782887,0.985576923076923,8.841747419896794,0.015808585154879793,61.60484595542391,2,1
"frozenset({'Dondozo', 'Toxapex', 'Alomomola'})",frozenset({'Blissey'}),0.017824536996782887,0.06112511955482132,0.01756369011390314,0.9853658536585367,16.120473233181837,0.016474163158965452,64.1564501637543,3,1
"frozenset({'Blissey', 'Toxapex', 'Alomomola'})",frozenset({'Dondozo'}),0.017824536996782887,0.111468567950613,0.01756369011390314,0.9853658536585367,8.839853886838402,0.015576814500489032,60.71631452337518,3,1
"frozenset({'Blissey', 'Ting-Lu', 'Alomomola'})",frozenset({'Dondozo'}),0.011216415963829232,0.111468567950613,0.011042518041909399,0.9844961240310077,8.832051421591746,0.00979224021688296,57.31027736718536,3,1
"frozenset({'Dondozo', 'Corviknight', 'Alomomola'})",frozenset({'Blissey'}),0.011216415963829232,0.06112511955482132,0.011042518041909399,0.9844961240310077,16.10624455544896,0.010356913275143731,60.55742978871392,3,1
"frozenset({'Blissey', 'Ting-Lu', 'Toxapex'})",frozenset({'Dondozo'}),0.010868620119989566,0.111468567950613,0.010694722198069733,0.984,8.82760062402496,0.009483212677695276,55.53321450308664,3,1
"frozenset({'Ogerpon-Wellspring', 'Iron Valiant', 'Iron Moth'})",frozenset({'Kingambit'}),0.0105208242761499,0.3004956090774715,0.010346926354230066,0.9834710743801652,3.2728301002448728,0.007185464855371354,42.32001565081283,3,1
"frozenset({'Kingambit', 'Great Tusk', 'Torkoal'})",frozenset({'Walking Wake'}),0.011477262846708983,0.10190418224502217,0.011216415963829232,0.9772727272727272,9.590114024201055,0.010046834879024177,39.51621598121886,3,1
"frozenset({'Walking Wake', 'Brute Bonnet'})",frozenset({'Great Tusk'}),0.0105208242761499,0.4175289105295192,0.01025997739327015,0.975206611570248,2.3356624822302003,0.005867229095376766,23.493000608642802,2,1
"frozenset({'Walking Wake', 'Brute Bonnet', 'Torkoal'})",frozenset({'Great Tusk'}),0.010433875315189984,0.4175289105295192,0.010173028432310233,0.9749999999999999,2.3351676384839646,0.005816583839358116,23.298843578819106,3,1
"frozenset({'Blissey', 'Clefable'})",frozenset({'Gliscor'}),0.01582471089470481,0.05625597774106599,0.015389966089905225,0.9725274725274725,17.287540126025444,0.014499731506053907,34.352282410225186,2,1
"frozenset({'Toxapex', 'Alomomola'})","frozenset({'Blissey', 'Dondozo'})",0.018085383879662638,0.046952438918354926,0.01756369011390314,0.9711538461538463,20.68377849002849,0.01671453723197828,33.03898211749715,2,2
"frozenset({'Blissey', 'Ting-Lu'})",frozenset({'Dondozo'}),0.011912007651508565,0.111468567950613,0.011564211807668898,0.9708029197080292,8.709207784369768,0.010236397373338493,30.43220154769154,2,1
"frozenset({'Armarouge', 'Indeedee'})",frozenset({'Hatterene'}),0.011825058690548647,0.09033997043735327,0.011477262846708983,0.9705882352941178,10.743729830719586,0.010408987394184851,30.928441005130097,2,1
"frozenset({'Dondozo', 'Alomomola', 'Clodsire'})",frozenset({'Blissey'}),0.01478132336318581,0.06112511955482132,0.014346578558386227,0.9705882352941175,15.878713078403479,0.01344306840063302,31.921745935135945,3,1
"frozenset({'Dondozo', 'Alomomola'})",frozenset({'Blissey'}),0.0320841665942092,0.06112511955482132,0.031127728023650117,0.9701897018970189,15.872193117379252,0.029166579504762275,31.494984625842758,2,1
frozenset({'Basculegion'}),frozenset({'Pelipper'}),0.019302669333101468,0.04408312320667768,0.018694026606382055,0.9684684684684686,21.969143699912934,0.017843104655953183,30.31622094973118,1,1
"frozenset({'Ting-Lu', 'Blissey', 'Dondozo', 'Toxapex'})",frozenset({'Alomomola'}),0.010694722198069733,0.04503956177723676,0.010346926354230066,0.9674796747967479,21.480663590419688,0.009865240753099719,29.36503347534991,4,1
