pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
Abomasnow,Frosmoth,Baxcalibur,Kingambit,Greninja-*,Sneasler
Dragapult,Ting-Lu,Toxapex,Zapdos,Great Tusk,Kingambit
Gholdengo,Ting-Lu,Zapdos,Samurott-Hisui,Great Tusk,Iron Valiant
Great Tusk,Slowking,Cinderace,Zapdos,Garganacl,Iron Valiant
Samurott-Hisui,Gholdengo,Baxcalibur,Greninja-*,Kingambit,Glimmora
Torkoal,Walking Wake,Roaring Moon,Great Tusk,Tornadus-Therian,Scizor
Ursaluna-Bloodmoon,Cinderace,Garganacl,Tinkaton,Rillaboom,Dragonite
Clefable,Great Tusk,Greninja-*,Sinistcha,Gliscor,Kingambit
Torkoal,Walking Wake,Brute Bonnet,Great Tusk,Kingambit,Iron Moth
Meowscarada,Toxapex,Enamorus,Landorus-Therian,Garganacl,Cinderace
Gliscor,Haxorus,Ninetales-Alola,Ursaluna-Bloodmoon,Iron Moth,Kingambit
Ursaluna-Bloodmoon,Garganacl,Cinderace,Tinkaton,Rillaboom,Dragonite
Blissey,Dondozo,Toxapex,Alomomola,Slowking,Bronzong
Ting-Lu,Moltres,Dondozo,Gholdengo,Great Tusk,Sneasler
Glimmora,Breloom,Gholdengo,Iron Valiant,Moltres-Galar,Dragapult
Gholdengo,Ting-Lu,Zapdos,Samurott-Hisui,Great Tusk,Iron Valiant
Cinderace,Dragonite,Greninja-*,Ogerpon-Hearthflame,Ursaluna-Bloodmoon,Iron Valiant
Moltres,Rotom-Wash,Great Tusk,Gholdengo,Ogerpon-Cornerstone,Ninetales-Alola
Kingambit,Staraptor,Ninetales-Alola,Slowbro-Galar,Great Tusk,Clefable
Ursaluna-Bloodmoon,Garganacl,Cinderace,Tinkaton,Rillaboom,Dragonite
Tinkaton,Great Tusk,Volcarona,Toxapex,Roaring Moon,Zoroark-Hisui
Magnezone,Great Tusk,Dragapult,Dragonite,Kingambit,Toxapex
Dragonite,Garchomp,Dragapult,Tinkaton,Baxcalibur,Walking Wake
Iron Valiant,Samurott-Hisui,Sneasler,Gholdengo,Dragapult,Garchomp
Ursaluna,Enamorus,Slowking-Galar,Great Tusk,Dragapult,Urshifu-*
Pelipper,Floatzel,Azumarill,Golduck,Pawmot,Toedscruel
Ting-Lu,Rotom-Wash,Scizor,Iron Valiant,Gholdengo,Cinderace
Great Tusk,Moltres,Ursaluna,Kingambit,Dragapult,Amoonguss
Basculegion-F,Clodsire,Scream Tail,Great Tusk,Kingambit,Zamazenta-*
Iron Valiant,Samurott-Hisui,Sneasler,Gholdengo,Dragapult,Garchomp
Magnezone,Great Tusk,Dragapult,Dragonite,Kingambit,Toxapex
Kingambit,Garchomp,Iron Valiant,Hydreigon,Azumarill,Amoonguss
Ursaluna,Enamorus,Slowking-Galar,Great Tusk,Dragapult,Urshifu-*
Samurott-Hisui,Sneasler,Magearna,Heatran,Toxapex,Great Tusk
Manaphy,Kingambit,Ribombee,Gholdengo,Iron Moth,Sneasler
Great Tusk,Rillaboom,Sneasler,Samurott-Hisui,Heatran,Enamorus
Kingambit,Corviknight,Great Tusk,Hippowdon,Toxapex,Hatterene
Ursaluna,Enamorus,Slowking-Galar,Great Tusk,Dragapult,Urshifu-*
Great Tusk,Toxapex,Iron Valiant,Kingambit,Corviknight,Garchomp
Magnezone,Great Tusk,Dragapult,Dragonite,Kingambit,Toxapex
Ogerpon-Wellspring,Iron Moth,Kingambit,Great Tusk,Zapdos,Toxapex
Great Tusk,Rillaboom,Sneasler,Samurott-Hisui,Heatran,Enamorus
Iron Valiant,Gholdengo,Samurott-Hisui,Slowking-Galar,Landorus-Therian,Zamazenta-*
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Iron Valiant,Landorus-Therian
Enamorus,Great Tusk,Heatran,Samurott-Hisui,Dragonite,Gholdengo
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Iron Valiant,Landorus-Therian
Great Tusk,Rillaboom,Sneasler,Samurott-Hisui,Heatran,Enamorus
Ribombee,Great Tusk,Gholdengo,Manaphy,Kingambit,Iron Moth
Great Tusk,Amoonguss,Corviknight,Dragapult,Samurott-Hisui,Gliscor
Pelipper,Barraskewda,Amoonguss,Zapdos,Kingambit,Cinderace
Samurott-Hisui,Dragapult,Sneasler,Gholdengo,Kingambit,Gliscor
Ursaluna-Bloodmoon,Rillaboom,Sneasler,Samurott-Hisui,Heatran,Enamorus
Ditto,Manaphy,Garganacl,Cresselia,Zapdos,Greninja-*
Great Tusk,Gliscor,Tornadus-Therian,Toxapex,Clefable,Gholdengo
Ursaluna-Bloodmoon,Rillaboom,Sneasler,Samurott-Hisui,Heatran,Enamorus
Sinistcha-Masterpiece,Tyranitar,Heatran,Rillaboom,Gholdengo,Sneasler
Iron Valiant,Gholdengo,Samurott-Hisui,Slowking-Galar,Landorus-Therian,Zamazenta-*
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Iron Valiant,Landorus-Therian
Garganacl,Zamazenta-*,Kingambit,Great Tusk,Enamorus,Amoonguss
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Iron Valiant,Landorus-Therian
Great Tusk,Baxcalibur,Ting-Lu,Amoonguss,Zapdos,Kingambit
Tinkaton,Dragapult,Ting-Lu,Dondozo,Cinderace,Zapdos
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Kingambit,Landorus-Therian
Landorus-Therian,Zamazenta-*,Slowking-Galar,Samurott-Hisui,Zapdos,Kingambit
Samurott-Hisui,Dragapult,Landorus-Therian,Amoonguss,Ting-Lu,Kingambit
Great Tusk,Torkoal,Walking Wake,Brute Bonnet,Kingambit,Iron Moth
Dragapult,Landorus-Therian,Zamazenta-*,Amoonguss,Great Tusk,Kingambit
Rotom-Wash,Muk-Alola,Great Tusk,Dondozo,Moltres,Ting-Lu
Meowscarada,Gholdengo,Zapdos,Ting-Lu,Baxcalibur,Landorus-Therian
Glimmora,Baxcalibur,Azumarill,Dragapult,Iron Moth,Iron Valiant
Ting-Lu,Amoonguss,Baxcalibur,Iron Valiant,Great Tusk,Gholdengo
