pokedex_number,name,generation,classfication,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
1,Bulbasaur,1,Seed Pokemon,"['Overgrow', 'Chlorophyll']",0.69999999999999984,6.9000000000000004,Grass,Poison,318,45,49,49,65,65,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,5140,70,0,0,0
2,Ivysaur,1,Seed Pokemon,"['Overgrow', 'Chlorophyll']",1,13,Grass,Poison,405,60,62,63,80,80,60,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,5140,70,0,0,0
3,Venusaur,1,Seed Pokemon,"['Overgrow', 'Chlorophyll']",2,100,Grass,Poison,525,80,82,83,100,100,80,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,5140,70,0,0,0
3,Venusaur-Mega,1,Seed Pokemon,['Thick Fat'],2.3999999999999999,155.5,Grass,Poison,625,80,100,123,122,120,80,1,1,1,0.5,0.5,0.5,1,2,1,0.25,1,1,1,1,2,1,1,0.5,45,5140,70,0,0,1
4,Charmander,1,Lizard Pokemon,"['Blaze', 'Solar Power']",0.59999999999999987,8.5,Fire,,309,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,5140,70,0,0,0
5,Charmeleon,1,Flame Pokemon,"['Blaze', 'Solar Power']",1.1000000000000001,19,Fire,,405,58,64,58,80,65,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,5140,70,0,0,0
6,Charizard,1,Flame Pokemon,"['Blaze', 'Solar Power']",1.7,90.5,Fire,Flying,534,78,84,78,109,85,100,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,45,5140,70,0,0,0
6,Charizard-Mega-X,1,Flame Pokemon,['Tough Claws'],1.7,110.5,Fire,Dragon,634,78,130,111,130,85,100,0.5,1,2,0.5,1,1,0.25,1,1,0.25,2,1,1,1,1,2,0.5,1,45,5140,70,0,0,1
6,Charizard-Mega-Y,1,Flame Pokemon,['Drought'],1.7,100.5,Fire,Flying,634,78,104,78,159,115,100,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,45,5140,70,0,0,1
7,Squirtle,1,Tiny Turtle Pokemon,"['Torrent', 'Rain Dish']",0.5,9,Water,,314,44,48,65,50,64,43,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
