pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
Landorus-Therian,Corviknight,Tapu Fini,Slowking-Galar,Volcarona,Dragapult
Hawlucha,Ninetales-Alola,Garchomp,Cloyster,Tapu Lele,Heatran
Kartana,Zapdos,Heatran,Landorus-Therian,Dragapult,Toxapex
Heatran,Melmetal,Tornadus-Therian,Landorus-Therian,Slowbro,Weavile
Diggersby,Shuckle,Dragonite,Blastoise,Tapu Koko,Aegislash
Tapu Koko,Landorus-Therian,Volcanion,Kartana,Weavile,Buzzwole
Gyarados,Heatran,Garchomp,Mew,Zapdos,Weavile
Tapu Koko,Hippowdon,Tornadus-Therian,Skarmory,Reuniclus,Toxapex
Silvally-Electric,Zeraora,Landorus-Therian,Tapu Fini,Tornadus-Therian,Heatran
Landorus-Therian,Corviknight,Toxapex,Blacephalon,Heatran,Dragapult
Torkoal,Venusaur,Xatu,Tornadus-Therian,Heatran,Landorus-Therian
Altaria,Toxapex,Shedinja,Magnezone,Corviknight,Blissey
Xurkitree,Heatran,Landorus-Therian,Tapu Fini,Tornadus-Therian,Weavile
Xatu,Shedinja,Pyukumuku,Toxapex,Blissey,Corviknight
Landorus-Therian,Dragapult,Magnezone,Tapu Fini,Kartana,Weavile
Zapdos,Primarina,Weavile,Landorus-Therian,Ferrothorn,Dragonite
Toxapex,Mareanie,Xatu,Blissey,Tapu Koko,Excadrill
Pelipper,Tornadus-Therian,Barraskewda,Moltres-Galar,Ferrothorn,Seismitoad
Weezing-Galar,Landorus-Therian,Ferrothorn,Clefable,Heatran,Weavile
Zapdos,Suicune,Corviknight,Clefable,Gastrodon-East,Shedinja
Blacephalon,Snorlax,Mew,Landorus-Therian,Kartana,Volcarona
Clefable,Toxapex,Landorus-Therian,Ferrothorn,Reuniclus,Tornadus-Therian
Landorus-Therian,Tapu Lele,Hawlucha,Polteageist,Moltres-Galar,Blacephalon
Weavile,Garchomp,Heatran,Zapdos,Toxapex,Tornadus-Therian
Pelipper,Barraskewda,Crawdaunt,Zapdos,Ferrothorn,Garchomp
Pyukumuku,Blissey,Toxapex,Quagsire,Clefable,Shedinja
Buzzwole,Clefable,Ferrothorn,Heatran,Rotom-Wash,Zeraora
Zygarde-10%,Urshifu-Rapid-Strike,Landorus-Therian,Slowbro,Scizor,Weavile
Shuckle,Tyrantrum,Aegislash,Bisharp,Rillaboom,Thundurus-Therian
Scolipede,Tapu Lele,Hawlucha,Moltres-Galar,Heatran,Dragonite
Landorus-Therian,Weavile,Dragonite,Heatran,Tapu Fini,Kartana
Thundurus,Bisharp,Heatran,Landorus-Therian,Tapu Fini,Kartana
Victini,Melmetal,Clefable,Landorus-Therian,Tornadus-Therian,Toxapex
Heatran,Rotom-Wash,Weavile,Tangrowth,Landorus-Therian,Melmetal
Nihilego,Kartana,Celesteela,Landorus-Therian,Heatran,Tapu Fini
Jirachi,Weavile,Tapu Lele,Magnezone,Landorus-Therian,Tapu Fini
Tyrantrum,Slowbro,Tornadus-Therian,Toxapex,Weavile,Landorus-Therian
Zapdos,Weavile,Kartana,Landorus-Therian,Volcanion,Melmetal
Tapu Koko,Tornadus-Therian,Hippowdon,Skarmory,Reuniclus,Toxapex
Landorus-Therian,Clefable,Tapu Koko,Slowking-Galar,Dragonite,Ferrothorn
Tapu Lele,Ferrothorn,Landorus-Therian,Zeraora,Weavile,Dragonite
Zeraora,Tangrowth,Slowking,Kartana,Heatran,Corviknight
Tapu Koko,Kartana,Dragonite,Landorus-Therian,Heatran,Clefable
Excadrill,Tyranitar,Clefable,Tornadus-Therian,Rotom-Wash,Volcarona
Zapdos,Clefable,Hydreigon,Toxapex,Ferrothorn,Zeraora
Tapu Koko,Victini,Clefable,Ferrothorn,Landorus-Therian,Dragonite
Rillaboom,Kartana,Zapdos,Landorus-Therian,Weavile,Heatran
Blissey,Haxorus,Garchomp,Dragapult,Cobalion,Kommo-o
Volcarona,Landorus-Therian,Ferrothorn,Rotom-Wash,Tapu Fini,Victini
Togekiss,Ferrothorn,Tornadus-Therian,Landorus-Therian,Toxapex,Heatran
Tapu Lele,Tyranitar,Excadrill,Ferrothorn,Zapdos,Urshifu-Rapid-Strike
Blissey,Slowking-Galar,Corviknight,Toxapex,Clefable,Gastrodon
Dragapult,Blacephalon,Buzzwole,Rotom-Wash,Landorus-Therian,Heatran
Omastar,Clefable,Pelipper,Ferrothorn,Zapdos,Barraskewda
Volcarona,Xatu,Cloyster,Dragonite,Kommo-o,Jirachi
Clefable,Buzzwole,Tornadus-Therian,Toxapex,Corviknight,Gastrodon-East
Tapu Koko,Magnezone,Buzzwole,Toxapex,Landorus-Therian,Heatran
Slowking-Galar,Skarmory,Clefable,Gastrodon-East,Heatran,Tapu Koko
Gengar,Dragapult,Garchomp,Heatran,Toxapex,Pelipper
Xurkitree,Clefable,Garchomp,Tornadus-Therian,Ferrothorn,Kartana
Ninetales-Alola,Heatran,Tapu Lele,Weavile,Haxorus,Hawlucha
Urshifu-Rapid-Strike,Dragapult,Weavile,Landorus-Therian,Aegislash,Slowking-Galar
Bisharp,Volcanion,Weavile,Kartana,Landorus-Therian,Togekiss
Landorus-Therian,Urshifu-Rapid-Strike,Bisharp,Rillaboom,Nihilego,Dragonite
Xatu,Chansey,Toxapex,Clefable,Corviknight,Gastrodon-East
Garchomp,Volcarona,Kartana,Tapu Fini,Heatran,Tornadus-Therian
Xatu,Pelipper,Ferrothorn,Crawdaunt,Barraskewda,Seismitoad
Tapu Koko,Zapdos,Raichu-Alola,Garchomp,Corviknight,Tapu Fini
