Pokémon,1º tipo,2º tipo,Sprite
Bulbasaur,https://play.pokemonshowdown.com/sprites/types/Grass.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png
Ivysaur,https://play.pokemonshowdown.com/sprites/types/Grass.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/ivysaur.png
Venusaur,https://play.pokemonshowdown.com/sprites/types/Grass.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/venusaur.png
Venusaur-Mega,https://play.pokemonshowdown.com/sprites/types/Grass.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/venusaur-mega.png
Venusaur-Gmax,https://play.pokemonshowdown.com/sprites/types/Grass.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/venusaur-gmax.png
Charmander,https://play.pokemonshowdown.com/sprites/types/Fire.png,-,https://play.pokemonshowdown.com/sprites/gen5/charmander.png
Charmeleon,https://play.pokemonshowdown.com/sprites/types/Fire.png,-,https://play.pokemonshowdown.com/sprites/gen5/charmeleon.png
Charizard,https://play.pokemonshowdown.com/sprites/types/Fire.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/charizard.png
Charizard-Mega-X,https://play.pokemonshowdown.com/sprites/types/Fire.png,https://play.pokemonshowdown.com/sprites/types/Dragon.png,https://play.pokemonshowdown.com/sprites/gen5/charizard-megax.png
Charizard-Mega-Y,https://play.pokemonshowdown.com/sprites/types/Fire.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/charizard-megay.png
Charizard-Gmax,https://play.pokemonshowdown.com/sprites/types/Fire.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/charizard-gmax.png
Squirtle,https://play.pokemonshowdown.com/sprites/types/Water.png,-,https://play.pokemonshowdown.com/sprites/gen5/squirtle.png
Wartortle,https://play.pokemonshowdown.com/sprites/types/Water.png,-,https://play.pokemonshowdown.com/sprites/gen5/wartortle.png
Blastoise,https://play.pokemonshowdown.com/sprites/types/Water.png,-,https://play.pokemonshowdown.com/sprites/gen5/blastoise.png
Blastoise-Mega,https://play.pokemonshowdown.com/sprites/types/Water.png,-,https://play.pokemonshowdown.com/sprites/gen5/blastoise-mega.png
Blastoise-Gmax,https://play.pokemonshowdown.com/sprites/types/Water.png,-,https://play.pokemonshowdown.com/sprites/gen5/blastoise-gmax.png
Caterpie,https://play.pokemonshowdown.com/sprites/types/Bug.png,-,https://play.pokemonshowdown.com/sprites/gen5/caterpie.png
Metapod,https://play.pokemonshowdown.com/sprites/types/Bug.png,-,https://play.pokemonshowdown.com/sprites/gen5/metapod.png
Butterfree,https://play.pokemonshowdown.com/sprites/types/Bug.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/butterfree.png
Butterfree-Gmax,https://play.pokemonshowdown.com/sprites/types/Bug.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/butterfree-gmax.png
Weedle,https://play.pokemonshowdown.com/sprites/types/Bug.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/weedle.png
Kakuna,https://play.pokemonshowdown.com/sprites/types/Bug.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/kakuna.png
Beedrill,https://play.pokemonshowdown.com/sprites/types/Bug.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/beedrill.png
Beedrill-Mega,https://play.pokemonshowdown.com/sprites/types/Bug.png,https://play.pokemonshowdown.com/sprites/types/Poison.png,https://play.pokemonshowdown.com/sprites/gen5/beedrill-mega.png
Pidgey,https://play.pokemonshowdown.com/sprites/types/Normal.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/pidgey.png
Pidgeotto,https://play.pokemonshowdown.com/sprites/types/Normal.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/pidgeotto.png
Pidgeot,https://play.pokemonshowdown.com/sprites/types/Normal.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/pidgeot.png
Pidgeot-Mega,https://play.pokemonshowdown.com/sprites/types/Normal.png,https://play.pokemonshowdown.com/sprites/types/Flying.png,https://play.pokemonshowdown.com/sprites/gen5/pidgeot-mega.png
Rattata,https://play.pokemonshowdown.com/sprites/types/Normal.png,-,https://play.pokemonshowdown.com/sprites/gen5/rattata.png
Rattata-Alola,https://play.pokemonshowdown.com/sprites/types/Dark.png,https://play.pokemonshowdown.com/sprites/types/Normal.png,https://play.pokemonshowdown.com/sprites/gen5/rattata-alola.png
Raticate,https://play.pokemonshowdown.com/sprites/types/Normal.png,-,https://play.pokemonshowdown.com/sprites/gen5/raticate.png
